Name,Num of Dimensions,Distance,Linkage,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
CC General,4,euclidean,ward,6,0.49,6416.65,0.79,2.5
CC General,4,euclidean,average,1,,,,1.56
CC General,4,euclidean,complete,1,,,,1.61
CC General,4,euclidean,single,1,,,,0.32
COVID-19,4,euclidean,ward,30,0.47,338.48,0.64,0.01
COVID-19,4,euclidean,average,9,0.46,221.68,0.76,0.0
COVID-19,4,euclidean,complete,21,0.48,285.91,0.7,0.01
COVID-19,4,euclidean,single,1,,,,0.0
Credit Card,4,euclidean,ward,11,0.68,3596.69,0.48,0.02
Credit Card,4,euclidean,average,2,0.49,224.48,0.47,0.02
Credit Card,4,euclidean,complete,3,0.44,272.18,0.62,0.02
Credit Card,4,euclidean,single,1,,,,0.0
Mall Customer,4,euclidean,ward,15,0.62,1810.21,0.42,0.01
Mall Customer,4,euclidean,average,8,0.66,561.88,0.34,0.0
Mall Customer,4,euclidean,complete,11,0.65,1076.02,0.4,0.0
Mall Customer,4,euclidean,single,3,0.48,93.85,1.06,0.0
Sales Transactions,4,euclidean,ward,19,0.38,562.13,0.86,0.02
Sales Transactions,4,euclidean,average,1,,,,0.01
Sales Transactions,4,euclidean,complete,3,0.25,209.96,1.6,0.02
Sales Transactions,4,euclidean,single,1,,,,0.0
Wholesale,4,euclidean,ward,21,0.44,552.23,0.73,0.01
Wholesale,4,euclidean,average,4,0.36,189.23,0.81,0.01
Wholesale,4,euclidean,complete,7,0.46,390.08,0.66,0.01
Wholesale,4,euclidean,single,1,,,,0.0
