Name,Num of Dimensions,Linkage,Distance,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
Credit Card,2,ward,euclidean,7,0.77,9091.53,0.39,0.01
Credit Card,2,average,euclidean,1,,,,0.01
Credit Card,2,average,manhattan,1,,,,0.01
Credit Card,2,average,cosine,13,0.63,3054.81,0.63,0.02
Credit Card,2,average,mahalanobis,201,0.45,89226.12,0.3,0.04
Credit Card,2,average,minkowski,1,,,,0.13
Credit Card,2,average,mahalanobis,201,0.45,89226.12,0.3,0.18
Credit Card,2,complete,euclidean,2,0.48,371.16,0.87,0.01
Credit Card,2,complete,manhattan,2,0.6,383.87,0.37,0.01
Credit Card,2,complete,cosine,18,0.6,3129.58,1.04,0.01
Credit Card,2,complete,mahalanobis,227,0.41,129025.83,0.35,0.05
Credit Card,2,complete,minkowski,2,0.48,371.16,0.87,0.15
Credit Card,2,complete,mahalanobis,227,0.41,129025.83,0.35,0.22
Credit Card,2,single,euclidean,1,,,,0.0
Credit Card,2,single,manhattan,1,,,,0.0
Credit Card,2,single,cosine,3,0.68,1019.88,0.56,0.01
Credit Card,2,single,mahalanobis,142,0.41,6688.09,0.26,0.04
Credit Card,2,single,minkowski,1,,,,0.11
Credit Card,2,single,mahalanobis,142,0.41,6688.09,0.26,0.15
Credit Card,3,ward,euclidean,8,0.7,6855.11,0.43,0.01
Credit Card,3,average,euclidean,2,0.58,336.75,0.39,0.01
Credit Card,3,average,manhattan,2,0.58,336.75,0.39,0.01
Credit Card,3,average,cosine,25,0.59,5958.74,0.44,0.02
Credit Card,3,average,mahalanobis,349,0.33,65802.84,0.22,0.07
Credit Card,3,average,minkowski,2,0.58,336.75,0.39,0.21
Credit Card,3,average,mahalanobis,349,0.33,65802.84,0.22,0.3
Credit Card,3,complete,euclidean,2,0.58,336.75,0.39,0.02
Credit Card,3,complete,manhattan,4,0.78,2902.51,0.33,0.01
Credit Card,3,complete,cosine,38,0.53,7598.18,0.57,0.02
Credit Card,3,complete,mahalanobis,379,0.33,100213.7,0.23,0.07
Credit Card,3,complete,minkowski,2,0.58,336.75,0.39,0.22
Credit Card,3,complete,mahalanobis,379,0.33,100213.7,0.23,0.31
Credit Card,3,single,euclidean,1,,,,0.0
Credit Card,3,single,manhattan,1,,,,0.0
Credit Card,3,single,cosine,9,0.5,1483.64,0.46,0.01
Credit Card,3,single,mahalanobis,299,0.28,6364.87,0.21,0.06
Credit Card,3,single,minkowski,1,,,,0.18
Credit Card,3,single,mahalanobis,299,0.28,6364.87,0.21,0.24
Credit Card,4,ward,euclidean,11,0.68,3596.69,0.48,0.01
Credit Card,4,average,euclidean,2,0.49,224.48,0.47,0.02
Credit Card,4,average,manhattan,3,0.47,314.83,1.03,0.02
Credit Card,4,average,cosine,33,0.51,2165.15,0.56,0.02
Credit Card,4,average,mahalanobis,479,0.27,77264.78,0.13,0.1
Credit Card,4,average,minkowski,2,0.49,224.48,0.47,0.27
Credit Card,4,average,mahalanobis,479,0.27,77264.78,0.13,0.37
Credit Card,4,complete,euclidean,3,0.44,272.18,0.62,0.01
Credit Card,4,complete,manhattan,6,0.65,1246.46,0.56,0.01
Credit Card,4,complete,cosine,54,0.49,3210.58,0.67,0.02
Credit Card,4,complete,mahalanobis,486,0.27,90894.58,0.14,0.09
Credit Card,4,complete,minkowski,3,0.44,272.18,0.62,0.28
Credit Card,4,complete,mahalanobis,486,0.27,90894.58,0.14,0.39
Credit Card,4,single,euclidean,1,,,,0.0
Credit Card,4,single,manhattan,1,,,,0.0
Credit Card,4,single,cosine,10,0.54,761.13,0.45,0.01
Credit Card,4,single,mahalanobis,461,0.25,32010.04,0.13,0.09
Credit Card,4,single,minkowski,1,,,,0.24
Credit Card,4,single,mahalanobis,461,0.25,32010.04,0.13,0.33
