Name,Num of Dimensions,Linkage,Distance,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
Wholesale,2,ward,euclidean,9,0.48,1266.0,0.65,0.01
Wholesale,2,average,euclidean,1,,,,0.0
Wholesale,2,average,manhattan,1,,,,0.0
Wholesale,2,average,cosine,19,0.34,526.94,1.09,0.01
Wholesale,2,average,chebyshev,1,,,,0.01
Wholesale,2,average,minkowski,1,,,,0.01
Wholesale,2,average,mahalanobis,310,0.24,14412.09,0.18,0.07
Wholesale,2,complete,euclidean,1,,,,0.01
Wholesale,2,complete,manhattan,2,0.26,121.98,1.78,0.01
Wholesale,2,complete,cosine,29,0.27,470.08,1.32,0.01
Wholesale,2,complete,chebyshev,1,,,,0.01
Wholesale,2,complete,minkowski,1,,,,0.02
Wholesale,2,complete,mahalanobis,321,0.24,17804.45,0.18,0.08
Wholesale,2,single,euclidean,1,,,,0.0
Wholesale,2,single,manhattan,1,,,,0.0
Wholesale,2,single,cosine,1,,,,0.0
Wholesale,2,single,chebyshev,1,,,,0.0
Wholesale,2,single,minkowski,1,,,,0.01
Wholesale,2,single,mahalanobis,282,0.22,3868.23,0.18,0.07
Wholesale,3,ward,euclidean,12,0.45,620.58,0.78,0.01
Wholesale,3,average,euclidean,1,,,,0.0
Wholesale,3,average,manhattan,2,0.34,167.3,1.46,0.01
Wholesale,3,average,cosine,50,0.36,419.78,0.65,0.02
Wholesale,3,average,chebyshev,1,,,,0.01
Wholesale,3,average,minkowski,1,,,,0.02
Wholesale,3,average,mahalanobis,401,0.1,17421.99,0.07,0.1
Wholesale,3,complete,euclidean,2,0.25,129.8,1.75,0.01
Wholesale,3,complete,manhattan,6,0.46,460.19,0.7,0.01
Wholesale,3,complete,cosine,75,0.33,484.43,0.81,0.03
Wholesale,3,complete,chebyshev,1,,,,0.01
Wholesale,3,complete,minkowski,2,0.25,129.8,1.75,0.02
Wholesale,3,complete,mahalanobis,402,0.1,17842.41,0.07,0.11
Wholesale,3,single,euclidean,1,,,,0.0
Wholesale,3,single,manhattan,1,,,,0.0
Wholesale,3,single,cosine,9,-0.44,0.38,2.0,0.01
Wholesale,3,single,chebyshev,1,,,,0.0
Wholesale,3,single,minkowski,1,,,,0.01
Wholesale,3,single,mahalanobis,395,0.1,10861.36,0.07,0.08
Wholesale,4,ward,euclidean,17,0.43,509.74,0.75,0.01
Wholesale,4,average,euclidean,1,,,,0.0
Wholesale,4,average,manhattan,5,0.47,333.62,0.74,0.01
Wholesale,4,average,cosine,68,0.38,337.06,0.64,0.02
Wholesale,4,average,chebyshev,1,,,,0.01
Wholesale,4,average,minkowski,1,,,,0.01
Wholesale,4,average,mahalanobis,417,0.06,28914.52,0.04,0.08
Wholesale,4,complete,euclidean,4,0.41,208.65,1.11,0.01
Wholesale,4,complete,manhattan,9,0.43,428.08,0.71,0.01
Wholesale,4,complete,cosine,91,0.38,428.95,0.66,0.02
Wholesale,4,complete,chebyshev,1,,,,0.0
Wholesale,4,complete,minkowski,4,0.41,208.65,1.11,0.02
Wholesale,4,complete,mahalanobis,417,0.06,28914.52,0.04,0.11
Wholesale,4,single,euclidean,1,,,,0.0
Wholesale,4,single,manhattan,1,,,,0.0
Wholesale,4,single,cosine,12,-0.46,0.75,1.8,0.01
Wholesale,4,single,chebyshev,1,,,,0.0
Wholesale,4,single,minkowski,1,,,,0.01
Wholesale,4,single,mahalanobis,415,0.06,18886.32,0.04,0.08
