Name,Num of Dimensions,Linkage,Distance,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
CC General,2,average,chebyshev,1,,,,2.15
CC General,3,average,chebyshev,1,,,,2.36
CC General,4,average,chebyshev,1,,,,2.51
COVID-19,2,average,chebyshev,3,0.65,485.78,0.47,0.0
COVID-19,3,average,chebyshev,5,0.51,255.33,0.61,0.0
COVID-19,4,average,chebyshev,7,0.5,226.41,0.67,0.01
Credit Card,2,average,chebyshev,1,,,,0.01
Credit Card,3,average,chebyshev,1,,,,0.01
Credit Card,4,average,chebyshev,1,,,,0.01
Mall Customer,2,average,chebyshev,2,0.74,316.82,0.29,0.0
Mall Customer,3,average,chebyshev,5,0.73,685.4,0.34,0.0
Mall Customer,4,average,chebyshev,8,0.66,561.88,0.34,0.0
Sales Transactions,2,average,chebyshev,1,,,,0.02
Sales Transactions,3,average,chebyshev,1,,,,0.02
Sales Transactions,4,average,chebyshev,1,,,,0.02
Wholesale,2,average,chebyshev,1,,,,0.01
Wholesale,3,average,chebyshev,1,,,,0.01
Wholesale,4,average,chebyshev,1,,,,0.01
