Name,Num of Dimensions,Distance,Linkage,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
CC General,4,manhattan,average,1,,,,1.55
CC General,4,manhattan,complete,1,,,,1.57
CC General,4,manhattan,single,1,,,,0.28
COVID-19,4,manhattan,average,57,0.42,335.47,0.48,0.01
COVID-19,4,manhattan,complete,77,0.43,513.42,0.53,0.02
COVID-19,4,manhattan,single,18,-0.09,20.44,0.98,0.0
Credit Card,4,manhattan,average,6,0.66,1239.88,0.45,0.01
Credit Card,4,manhattan,complete,13,0.66,2782.37,0.55,0.01
Credit Card,4,manhattan,single,2,0.49,224.48,0.47,0.01
Mall Customer,4,manhattan,average,15,0.64,813.9,0.37,0.01
Mall Customer,4,manhattan,complete,21,0.56,1466.25,0.44,0.01
Mall Customer,4,manhattan,single,6,0.32,68.93,0.97,0.0
Sales Transactions,4,manhattan,average,12,0.34,397.73,0.79,0.02
Sales Transactions,4,manhattan,complete,32,0.35,532.58,0.93,0.02
Sales Transactions,4,manhattan,single,1,,,,0.01
Wholesale,4,manhattan,average,25,0.43,494.74,0.69,0.01
Wholesale,4,manhattan,complete,51,0.42,600.35,0.76,0.02
Wholesale,4,manhattan,single,1,,,,0.0
